from,High-Priced Center-Based,Low-Priced Center-Based,Unpaid Center-Based,Paid Home-Based,Unpaid Home-Based,Other Paid,Other Unpaid,Parent Only
High-Priced Center-Based,0,-0.018426215,0.012409492,-0.301239649,-0.296541368,-0.44567196,-0.447709057,-0.320390508
Low-Priced Center-Based,0.018426215,0,0.030835706,-0.282813434,-0.278115153,-0.427245745,-0.429282842,-0.301964294
Unpaid Center-Based,-0.012409492,-0.030835706,0,-0.31364914,-0.30895086,-0.458081452,-0.460118548,-0.3328
Paid Home-Based,0.301239649,0.282813434,0.31364914,0,0.004698281,-0.144432311,-0.146469408,-0.01915086
Unpaid Home-Based,0.296541368,0.278115153,0.30895086,-0.004698281,0,-0.149130592,-0.151167689,-0.02384914
Other Paid,0.44567196,0.427245745,0.458081452,0.144432311,0.149130592,0,-0.002037097,0.125281452
Other Unpaid,0.447709057,0.429282842,0.460118548,0.146469408,0.151167689,0.002037097,0,0.127318548
Parent Only,0.320390508,0.301964294,0.3328,0.01915086,0.02384914,-0.125281452,-0.127318548,0
