"year","epop_m_16plus","epop_m_16_17","epop_m_18_19","epop_m_20_24","epop_m_25_29","epop_m_30_34","epop_m_35_39","epop_m_40_44","epop_m_45_49","epop_m_50_54","epop_m_55_59","epop_m_60_64","epop_m_65plus","epop_f_16plus","epop_f_16_17","epop_f_18_19","epop_f_20_24","epop_f_25_29","epop_f_30_34","epop_f_35_39","epop_f_40_44","epop_f_45_49","epop_f_50_54","epop_f_55_59","epop_f_60_64","epop_f_65plus"
2032,64.1432521435801,17.0340374764043,50.3161702283827,65.7092188597335,81.8292091402816,86.656193921619,87.7390211215544,87.106492144026,86.5314534359943,84.9792119527644,78.7726199850331,,,54.4982957728426,23.643825470118,45.5093657914353,62.8175437600351,74.2847098112132,74.7441572247799,75.1428816999759,76.6508516897015,77.4334916222337,76.3297823297222,69.4883488358621,,
2033,64.0554304426022,17.0629984844522,50.4994621209425,65.6654291349737,81.8443865879567,86.6494711757755,87.760279708815,87.1248917187932,86.5741189366911,85.0053460005202,78.8200110292615,,,54.4715049395683,23.6523719459792,45.6157474397317,62.8827787252192,74.4711492703649,74.8771965222104,75.2641326680649,76.7531132818265,77.5611324336193,76.4720766711947,69.6589865939142,,
2034,63.980018329806,17.0745828876714,50.6572968062023,65.5787619713868,81.8614612165912,86.634104899562,87.7612460082359,87.1123025360577,86.5964213575099,85.0188969882455,78.8306498351087,,,54.4542822610348,23.6480987080486,45.7194915265,62.8967576463301,74.6528326208649,75.0025788816593,75.3796097805306,76.8216092539102,77.6616979213777,76.5901712947296,69.7772695852913,,
2035,63.9179703888977,17.0588611975883,50.7676113711688,65.4993930952599,81.8804330261851,86.6206594078752,87.7428863192382,87.1016501506662,86.6041787212729,85.0469668913906,78.83935431262,,,54.4494981836644,23.6318604039122,45.8021351210443,62.8939618621079,74.8126378715664,75.128918358356,75.4758407075854,76.895893618001,77.7448578439471,76.7111698844171,69.8761619223442,,
2036,63.8731049547025,17.0514140812331,50.8015543142354,65.4565156564327,81.8927647024211,86.6158574465585,87.7187288337148,87.1084289413699,86.6167844373879,85.0847160714824,78.8615990884823,,,54.4542822610348,23.6216046328787,45.8267523619724,62.8976895744042,74.9134673749852,75.2227158486308,75.5499385214175,76.9875431581131,77.8376875249548,76.8360404289746,69.9799019229782,,
2037,63.8406491086889,17.0299001895403,50.7905228577388,65.4674630876226,81.8889703405023,86.6158574465585,87.6965039470332,87.1152077320736,86.6342385058548,85.1176256131009,78.8944826701917,,,54.468634493146,23.6062209763285,45.8100478056283,62.9498775465515,74.9914675568752,75.3040708146854,75.6221117167086,77.0762985022216,77.9314841818063,76.957039018662,70.0826723908959,,
2038,63.8167845160319,16.9785978324269,50.8083429028487,65.5276739591672,81.8804330261851,86.6273821537186,87.6878072522448,87.1336073068408,86.6555712562032,85.1640861424446,78.9283334160692,,,54.4935116954722,23.5797269011587,45.8162021158603,63.0449342101055,75.0761262908778,75.3959540704648,75.700058767623,77.1718069703383,78.018512007751,77.080941574502,70.1902905223947,,
2039,63.7986474256125,16.9703232586989,50.835497257302,65.5878848307118,81.8699985309085,86.6513919603022,87.6984365458751,87.1597540709837,86.6739949951405,85.2182900933456,78.9786259528013,,,54.526043421591,23.5737443680558,45.8241148004444,63.1297396648449,75.1588825814196,75.4954942642258,75.7828173648901,77.2740685624633,78.1084407612272,77.2048441303419,70.295969588461,,
2040,63.7881470048434,16.9968018946285,50.8168286386154,65.6134288368216,81.8576668546724,86.6773225514125,87.7167962348729,87.1675012603594,86.6933884045481,85.2705581888573,79.0569662504032,,,54.5614455941321,23.5805815487448,45.7863097518763,63.1698125720295,75.2292729894667,75.5902488717483,75.872312127051,77.3570355145648,78.2032043939226,77.3190667990069,70.4181307107029,,
2041,63.7824195026057,16.9976293520013,50.8236172272287,65.5979199759692,81.8519753117943,86.7022927502595,87.74481891808,87.1626592669996,86.72344818913,85.3189545735904,79.1517483388599,,,54.6025886595177,23.5771629584003,45.7827930031722,63.1632890755111,75.2891999584798,75.6821321275277,75.9598822706708,77.422637290645,78.3057038333686,77.4381294112594,70.5480480946744,,
