"year","epop_m_16plus","epop_m_16_17","epop_m_18_19","epop_m_20_24","epop_m_25_29","epop_m_30_34","epop_m_35_39","epop_m_40_44","epop_m_45_49","epop_m_50_54","epop_m_55_59","epop_m_60_64","epop_m_65plus","epop_f_16plus","epop_f_16_17","epop_f_18_19","epop_f_20_24","epop_f_25_29","epop_f_30_34","epop_f_35_39","epop_f_40_44","epop_f_45_49","epop_f_50_54","epop_f_55_59","epop_f_60_64","epop_f_65plus"
2078,60.3907835941879,17.1134733841929,51.6034563441843,66.0677472312035,82.6393054099399,87.6962987428216,89.040626441555,88.5590901519642,88.2409824752786,87.1793116027289,81.9990796492328,,,52.7970778599223,23.747237828039,46.3806402828542,63.7774296763161,76.5001052212359,77.3484732557766,77.9836186666323,79.8576208616216,81.2404755193932,80.9606403542408,74.4533258755491,,
2079,60.2647785449587,17.1126459268201,51.6026077706077,66.0640980874736,82.6393054099399,87.6962987428216,89.0396601421341,88.5610269493081,88.2448611571601,87.1889908796755,82.0309960667743,,,52.701396312514,23.747237828039,46.3797610956782,63.7727700359458,76.5001052212359,77.3484732557766,77.9836186666323,79.8624445216275,81.2540131812068,80.9848400721783,74.4988939132108,,
2080,60.1502285002049,17.1118184694473,51.601759197031,66.0604489437436,82.6383568194602,87.6972591350849,89.0396601421341,88.5619953479801,88.2497095095121,87.1967343012328,82.0464706934611,,,52.6191101817428,23.7463831804528,46.3780027213262,63.7681103955755,76.5001052212359,77.3484732557766,77.9836186666323,79.865338717631,81.2656168913328,81.0071038126808,74.5221626983997,,
2081,60.0461788762203,17.1118184694473,51.6009106234543,66.0567998000136,82.6374082289805,87.6972591350849,89.0396601421341,88.5619953479801,88.2526185209232,87.2054456504847,82.0513065143008,,,52.5463922057125,23.7463831804528,46.3780027213262,63.7643826832792,76.5001052212359,77.3484732557766,77.9836186666323,79.8672681816334,81.2752866497711,81.0274315757483,74.5337970909942,,
2082,59.9411746685293,17.1118184694473,51.6000620498777,66.0540629422161,82.6374082289805,87.6972591350849,89.0396601421341,88.5619953479801,88.2555275323344,87.213189072042,82.06097815598,,,52.4746310451562,23.7463831804528,46.3771235341502,63.760654970983,76.5001052212359,77.3484732557766,77.9836186666323,79.8691976456358,81.2830224565217,81.0458233613808,74.5512486798859,,
2083,59.8409433793698,17.1109910120745,51.6000620498777,66.0513260844186,82.6364596385008,87.6972591350849,89.0386938427131,88.5619953479801,88.2574668732751,87.2199645659046,82.0735512901631,,,52.4076539619704,23.7463831804528,46.3762443469742,63.7569272586868,76.5001052212359,77.3484732557766,77.9836186666323,79.8701623776369,81.2897912874285,81.0622791695783,74.5716088669262,,
2084,59.7464395924479,17.1109910120745,51.6000620498777,66.0485892266212,82.6355110480211,87.6972591350849,89.0386938427131,88.5619953479801,88.2584365437455,87.2257721320726,82.0851572601782,,,52.345460956155,23.7463831804528,46.3762443469742,63.7541314744646,76.5001052212359,77.3484732557766,77.9836186666323,79.8701623776369,81.2946261666477,81.0767990003408,74.5909995212503,,
2085,59.6557541403512,17.1118184694473,51.599213476301,66.0467646547562,82.6345624575414,87.6962987428216,89.0386938427131,88.5610269493081,88.2594062142159,87.2315796982406,82.0977303943612,,,52.2861383967618,23.7463831804528,46.3762443469742,63.7513356902424,76.5001052212359,77.3484732557766,77.9836186666323,79.8711271096381,81.2975270941792,81.0893828536683,74.6103901755744,,
2086,59.5698416067858,17.1118184694473,51.599213476301,66.0449400828912,82.6336138670617,87.6962987428216,89.0386938427131,88.5610269493081,88.2603758846863,87.2354514090192,82.1093363643763,,,52.231599914739,23.7463831804528,46.3762443469742,63.7494718340943,76.4991539995055,77.3484732557766,77.9836186666323,79.8711271096381,81.2994610458668,81.1009987182783,74.6307503626147,,
2087,59.4887019917519,17.1118184694473,51.6000620498777,66.0440277969587,82.632665276582,87.6962987428216,89.0386938427131,88.5610269493081,88.2603758846863,87.2393231197978,82.1219094985593,,,52.1808886946126,23.7463831804528,46.3762443469742,63.7485399060202,76.4991539995055,77.3484732557766,77.9836186666323,79.8720918416393,81.3004280217107,81.1097106167358,74.6501410169388,,
2088,59.4132898789557,17.1126459268201,51.6000620498777,66.0431155110262,82.632665276582,87.6962987428216,89.0386938427131,88.5610269493081,88.2603758846863,87.2422269028818,82.1325483044065,,,52.1349615518566,23.747237828039,46.3762443469742,63.7476079779462,76.4991539995055,77.3484732557766,77.9836186666323,79.8720918416393,81.3013949975545,81.1164865377583,74.6675926058305,,
2089,59.3436052683971,17.1134733841929,51.6000620498777,66.0431155110262,82.6317166861024,87.6953383505582,89.0386938427131,88.5610269493081,88.2603758846863,87.2441627582712,82.1422199460858,,,52.0957321174192,23.747237828039,46.3771235341502,63.7466760498721,76.4991539995055,77.3484732557766,77.9836186666323,79.8720918416393,81.3013949975545,81.1203584926283,74.6821355965736,,
2090,59.2806027437826,17.1143008415657,51.6009106234543,66.0431155110262,82.6307680956227,87.6953383505582,89.0386938427131,88.5610269493081,88.2603758846863,87.2451306859658,82.1499572594292,,,52.0603299448781,23.747237828039,46.3771235341502,63.7476079779462,76.4991539995055,77.3484732557766,77.9836186666323,79.8720918416393,81.3023619733983,81.1232624587808,74.6947395218842,,
2091,59.2204639702868,17.1151282989385,51.601759197031,66.0440277969587,82.6307680956227,87.6953383505582,89.0386938427131,88.5610269493081,88.2603758846863,87.2451306859658,82.1567274086047,,,52.0277982187593,23.7480924756251,46.3780027213262,63.7485399060202,76.4991539995055,77.3484732557766,77.9836186666323,79.8730565736405,81.3023619733983,81.1242304474983,74.7063739144787,,
2092,59.16318894791,17.1159557563113,51.6026077706077,66.0458523688237,82.6307680956227,87.6953383505582,89.0386938427131,88.5610269493081,88.2603758846863,87.2451306859658,82.1625303936122,,,51.9971801235886,23.7480924756251,46.3788819085022,63.7494718340943,76.4991539995055,77.3484732557766,77.9836186666323,79.8730565736405,81.3023619733983,81.1242304474983,74.7160692416408,,
2093,59.1068685092393,17.1167832136841,51.6034563441843,66.0476769406887,82.6307680956227,87.6943779582949,89.0386938427131,88.5610269493081,88.2603758846863,87.2441627582712,82.1673662144518,,,51.9684756593661,23.7489471232112,46.3806402828542,63.7522676183165,76.4991539995055,77.3484732557766,77.9836186666323,79.8720918416393,81.3033289492422,81.1242304474983,74.7228559706542,,
2094,59.0534118216876,17.1176106710569,51.604304917761,66.0504137984861,82.6307680956227,87.6943779582949,89.0396601421341,88.5610269493081,88.2603758846863,87.2431948305765,82.1693005427877,,,51.9407280106177,23.7489471232112,46.3815194700302,63.7550634025387,76.4991539995055,77.3484732557766,77.9836186666323,79.8720918416393,81.3033289492422,81.1232624587808,74.726734101519,,
2095,59.0009097178421,17.1184381284297,51.6051534913377,66.0531506562836,82.6307680956227,87.6943779582949,89.0396601421341,88.5610269493081,88.2603758846863,87.2431948305765,82.1702677069556,,,51.9129803618693,23.7489471232112,46.3823986572062,63.7578591867608,76.4991539995055,77.3484732557766,77.9836186666323,79.8720918416393,81.3033289492422,81.1232624587808,74.7277036342352,,
2096,58.9503167814092,17.1184381284297,51.6060020649143,66.0567998000136,82.6307680956227,87.6943779582949,89.0396601421341,88.5610269493081,88.2603758846863,87.2422269028818,82.1693005427877,,,51.8881031595431,23.7498017707973,46.3832778443822,63.7615868990571,76.4991539995055,77.3484732557766,77.9836186666323,79.8720918416393,81.3033289492422,81.1222944700633,74.726734101519,,
2097,58.9016330123888,17.1192655858024,51.606850638491,66.0595366578111,82.6307680956227,87.6943779582949,89.0396601421341,88.5610269493081,88.2603758846863,87.2422269028818,82.1673662144518,,,51.864182772691,23.7498017707973,46.3841570315582,63.7643826832792,76.4991539995055,77.3484732557766,77.9836186666323,79.8720918416393,81.3033289492422,81.1222944700633,74.7238255033704,,
2098,58.8558129944873,17.1192655858024,51.606850638491,66.0622735156086,82.6317166861024,87.6943779582949,89.0396601421341,88.5610269493081,88.2603758846863,87.2412589751872,82.165431886116,,,51.8431328322612,23.7498017707973,46.3841570315582,63.7681103955755,76.4991539995055,77.3484732557766,77.9836186666323,79.8711271096381,81.3033289492422,81.1213264813458,74.7209169052218,,
2099,58.8119021439984,17.1192655858024,51.6076992120677,66.0659226593385,82.632665276582,87.6943779582949,89.0396601421341,88.5610269493081,88.2603758846863,87.2412589751872,82.1625303936122,,,51.8230397073054,23.7498017707973,46.3850362187342,63.7718381078717,76.4991539995055,77.3484732557766,77.9836186666323,79.8711271096381,81.3033289492422,81.1213264813458,74.717038774357,,
2100,58.7670367098032,17.1192655858024,51.6076992120677,66.068659517136,82.6336138670617,87.6943779582949,89.0396601421341,88.5610269493081,88.2603758846863,87.2412589751872,82.1605960652764,,,51.8029465823497,23.7498017707973,46.3850362187342,63.7737019640198,76.4991539995055,77.3484732557766,77.9836186666323,79.8711271096381,81.3033289492422,81.1213264813458,74.7141301762083,,
